"id","question","module"
1,"Cuando analizo la historia de mi vida, me siento satisfecho de cómo han resultado las cosas.",1
2,"A menudo me siento solo porque tengo pocos amigos intimos con quienes comparto mis preocupaciones.",3
3,"Expreso fácilmente mis opiniones, incluso cuando son opuestas a las opiniones de la mayoría de las personas.",4
4,"Me preocupa cómo otras personas evalúan las elecciones que he hecho en mi vida.",4
5,"Me resulta dificil dirigir mi vida hacia un camino que me satisfaga.",2
6,"Disfruto haciendo planes para el futuro y trabajar para hacerlos realidad.",5
7,"En general, me siento seguro y positivo conmigo mismo.",1
8,"No cuento con muchas personas que quieran escucharme cuando necesito hablar.",3
9,"Tiendo a preocuparme por lo que los demás piensan de mi.",4
10,"Me juzgo por lo que pienso que es importante, no por lo que otros piensan que es importante.",4
11,"Soy parte de una familia y he construido un modo (estilo) de vida a mi gusto.",2
12,"Soy una persona activa cuando realizó los proyectos que me propongo.",5
13,"Si tuviera la oportunidad, cambiaría muchas cosas de mi mismo.",1
14,"Siento que mis amistades me aportan muchas cosas.",3
15,"Tiendo a dejarme influenciar por personas con opiniones firmes.",4
16,"En general, siento que soy responsable de la situación en la que VIVO.",2
17,"Me siento bien cuando pienso lo que he hecho en el pasado y lo que espero hacer en el futuro.",5
18,"Mis objetivos en la vida han sido más una fuente de satisfacción que de frustración para mi.",5
19,"Me gusta la mayor parte de los aspectos de mi personalidad.",1
20,"Me parece que la mayor parte de las personas tienen más amigos que yo.",3
21,"Tengo confianza en mis opiniones incluso si son contrarias al consenso general.",4
22,"Las demandas de la vida diaria a menudo me deprimen.",2
23,"Tengo clara la dirección y objetivo de mi vida.",5
24,"Conforme pasa el tiempo siento que sigo aprendiendo más sobre mi mismo.",5
25,"En muchos aspectos, me siento decepcionado de mis logros en la vida.",1
26,"He experimentado muchas relaciones cercanas y de confianza.",3
27,"Me resulta difícil expresar mis opiniones en temas controvertidos.",4
28,"Soy bastante eficiente, manejando mis responsabilidades diarias.",2
29,"No tengo claro qué es lo que intento conseguir en la vida.",5
30,"Hace mucho tiempo que dejé de hacer cambios importantes en mi vida.",5
31,"Me siento orgulloso de quién soy y de la vida que llevo.",1
32,"Sé que puedo confiar en mis amigos, y ellos saben que pueden confiar en mí.",3
33,"Siento que con el tiempo me he desarrollado mucho como persona.",4
34,"No quiero intentar nuevas formas de hacer las cosas mi vida esta bien como está.",5
35,"Las experiencias nuevas me desafían a replantear lo que pienso sobre mi mismo y el mundo.",5
36,"Pensándolo bien, con los años no he mejorado mucho como persona.",5
37,"A menudo cambio mis decisiones si mis amigos o mi familia están en desacuerdo.",5
38,"Para mi, la vida ha sido un proceso continuo de aprendizaje, desarrollo y crecimiento.",5
39,"Si no fuera feliz en mi vida, tomaria medidas efectivas para cambiarla.",2
